"activity" "subject" "mean"
"WALKING" 1 -0.319105810200331
"WALKING" 2 -0.385708093716054
"WALKING" 3 -0.386865862874514
"WALKING" 4 -0.43055661483918
"WALKING" 5 -0.378535121986988
"WALKING" 6 -0.337513362522582
"WALKING" 7 -0.306764482858546
"WALKING" 8 -0.299755499867352
"WALKING" 9 -0.37164660578822
"WALKING" 10 -0.327086776127028
"WALKING" 11 -0.431366510871248
"WALKING" 12 -0.355560155447154
"WALKING" 13 -0.316988827925179
"WALKING" 14 -0.385501824502105
"WALKING" 15 -0.390526282476396
"WALKING" 16 -0.431362808379042
"WALKING" 17 -0.387039462708526
"WALKING" 18 -0.436306077297177
"WALKING" 19 -0.238252786596887
"WALKING" 20 -0.259518117088663
"WALKING" 21 -0.330648706245588
"WALKING" 22 -0.274200987116311
"WALKING" 23 -0.265296718829829
"WALKING" 24 -0.416975175176002
"WALKING" 25 -0.460842122215599
"WALKING" 26 -0.392008755561813
"WALKING" 27 -0.377771272094104
"WALKING" 28 -0.393787255237739
"WALKING" 29 -0.352894943404783
"WALKING" 30 -0.373607524126774
"WALKING_UPSTAIRS" 1 -0.40699661814598
"WALKING_UPSTAIRS" 2 -0.363983305102955
"WALKING_UPSTAIRS" 3 -0.424274671811149
"WALKING_UPSTAIRS" 4 -0.415260374462441
"WALKING_UPSTAIRS" 5 -0.356353464901252
"WALKING_UPSTAIRS" 6 -0.330642340129316
"WALKING_UPSTAIRS" 7 -0.427408293255387
"WALKING_UPSTAIRS" 8 -0.293377815632218
"WALKING_UPSTAIRS" 9 -0.427075431896002
"WALKING_UPSTAIRS" 10 -0.345652600356602
"WALKING_UPSTAIRS" 11 -0.43527506672087
"WALKING_UPSTAIRS" 12 -0.42179157558609
"WALKING_UPSTAIRS" 13 -0.411582073864772
"WALKING_UPSTAIRS" 14 -0.285486358859423
"WALKING_UPSTAIRS" 15 -0.393720911542089
"WALKING_UPSTAIRS" 16 -0.440146451770759
"WALKING_UPSTAIRS" 17 -0.401431355861112
"WALKING_UPSTAIRS" 18 -0.470681472754459
"WALKING_UPSTAIRS" 19 -0.316821118319495
"WALKING_UPSTAIRS" 20 -0.338291941451443
"WALKING_UPSTAIRS" 21 -0.381967006088137
"WALKING_UPSTAIRS" 22 -0.305185521541175
"WALKING_UPSTAIRS" 23 -0.369581312588007
"WALKING_UPSTAIRS" 24 -0.43583828688532
"WALKING_UPSTAIRS" 25 -0.48551223324769
"WALKING_UPSTAIRS" 26 -0.41167278243368
"WALKING_UPSTAIRS" 27 -0.426267052017458
"WALKING_UPSTAIRS" 28 -0.401092965937606
"WALKING_UPSTAIRS" 29 -0.364429747315138
"WALKING_UPSTAIRS" 30 -0.439370730188029
"WALKING_DOWNSTAIRS" 1 -0.297226292824001
"WALKING_DOWNSTAIRS" 2 -0.259677293061387
"WALKING_DOWNSTAIRS" 3 -0.350536138554404
"WALKING_DOWNSTAIRS" 4 -0.363790441016887
"WALKING_DOWNSTAIRS" 5 -0.296901580091929
"WALKING_DOWNSTAIRS" 6 -0.198922424840441
"WALKING_DOWNSTAIRS" 7 -0.317129508211319
"WALKING_DOWNSTAIRS" 8 -0.19351985419359
"WALKING_DOWNSTAIRS" 9 -0.313140747277053
"WALKING_DOWNSTAIRS" 10 -0.263162073365728
"WALKING_DOWNSTAIRS" 11 -0.348717448293558
"WALKING_DOWNSTAIRS" 12 -0.311490436338625
"WALKING_DOWNSTAIRS" 13 -0.317234723087439
"WALKING_DOWNSTAIRS" 14 -0.203378373864087
"WALKING_DOWNSTAIRS" 15 -0.280227328116279
"WALKING_DOWNSTAIRS" 16 -0.339080301791712
"WALKING_DOWNSTAIRS" 17 -0.365194496888334
"WALKING_DOWNSTAIRS" 18 -0.438663811185222
"WALKING_DOWNSTAIRS" 19 -0.078306398113335
"WALKING_DOWNSTAIRS" 20 -0.247169665420288
"WALKING_DOWNSTAIRS" 21 -0.291301975673511
"WALKING_DOWNSTAIRS" 22 -0.287664837258693
"WALKING_DOWNSTAIRS" 23 -0.20246554081645
"WALKING_DOWNSTAIRS" 24 -0.359085991984149
